name,net worth,citizenship,industry
Jeff Bezos,115739645754,United States,Technology
Bill Gates,115488591742,United States,Technology
Bernard Arnault,102244728472,France,Consumer
Warren Buffett,89408278188,United States,Diversified
Mark Zuckerberg,83053011017,United States,Technology
Amancio Ortega,73839366133,Spain,Retail
Larry Page,69933009751,United States,Technology
Sergey Brin,67825250468,United States,Technology
Carlos Slim,62527178289,Mexico,Diversified
Charles Koch,61046822719,United States,Industrial
Julia Flesher Koch,61038443719,United States,Industrial
Steve Ballmer,60550361299,United States,Technology
Larry Ellison,60426508503,United States,Technology
Francoise Bettencourt Meyers,59430205950,France,Consumer
Mukesh Ambani,58841509648,India,Energy
Rob Walton,52673746791,United States,Retail
Jim Walton,52493506006,United States,Retail
Alice Walton,51499521279,United States,Retail
Jack Ma,46831790672,China,Technology
Jacqueline Mars,43742267505,United States,Food & Beverage
John Mars,43738267505,United States,Food & Beverage
Francois Pinault,41080849011,France,Consumer
Pony Ma,39664213923,China,Technology
Sheldon Adelson,38008857087,United States,Entertainment
MacKenzie Bezos,37367606023,United States,Technology
Phil Knight,37043632390,United States,Consumer
Elon R Musk,33018618313,United States,Technology
Giovanni Ferrero,32349184907,Italy,Food & Beverage
Michael Dell,30492123849,United States,Technology
Vladimir Potanin,30415589846,Russian Federation,Commodities
Alain Wertheimer,30197517906,France,Consumer
Gerard Wertheimer,30197517906,France,Consumer
Tadashi Yanai,29219620414,Japan,Retail
Li Ka-Shing,29129718532,Hong Kong,Real Estate
Laurene Powell Jobs,27295369209,United States,Media & Telecom
Hui Ka Yan,26609813177,China,Real Estate
Leonardo del Vecchio,25582826781,Italy,Consumer
Len Blavatnik,25219351840,United States,Diversified
Yang Huiyan,24723518993,China,Real Estate
Vagit Alekperov,23816121653,Russian Federation,Energy
Lee Shau Kee,23599242744,Hong Kong,Real Estate
Leonid Mikhelson,23493418522,Russian Federation,Energy
Dieter Schwarz,23378958204,Germany,Retail
Jorge Paulo Lemann,23056345424,Brazil,Food & Beverage
He Xiangjian,22809231087,China,Consumer
Leonard Lauder,22477600797,United States,Consumer
Pallonji Mistry,22012169667,Ireland,Industrial
Vladimir Lisin,21501663176,Russian Federation,Industrial
Takemitsu Takizaki,21421380846,Japan,Technology
Jim Simons,21075000000,United States,Finance
Elaine Marshall,21037876801,United States,Industrial
Lee Kun Hee,20694315362,"Korea, Republic of",Diversified
Carl Icahn,20515698449,United States,Diversified
Steve Schwarzman,20113402642,United States,Finance
Gina Rinehart,19984845036,Australia,Commodities
Alexey Mordashov,19907656663,Russian Federation,Industrial
William Ding,19861456000,China,Technology
Stefan Persson,19775228189,Sweden,Retail
Susanne Klatten,19510562200,Germany,Industrial
Colin Huang,19364969279,China,Technology
Jim Ratcliffe,19303557973,United Kingdom,Industrial
Azim Premji,18601194896,India,Technology
Joseph Safra,18458658992,Brazil,Finance
Lukas Walton,18236794144,United States,Retail
Charoen Sirivadhanabhakdi,18223707079,Thailand,Food & Beverage
Abby Johnson,18201852296,United States,Finance
Ernesto Bertarelli,18194837738,Switzerland,Diversified
Klaus-Michael Kuehne,17981855846,Germany,Industrial
Budi Hartono,17958700040,Indonesia,Diversified
Heinz Hermann Thiele,17546946097,Germany,Industrial
Lui Che Woo,17403592582,Hong Kong,Entertainment
Gennady Timchenko,17353026306,Russian Federation,Diversified
Henry Cheng,17235146157,Hong Kong,Retail
John Menard Jr,17036187823,United States,Retail
Michael Hartono,16902192777,Indonesia,Diversified
Robert Kuok,16688134027,Malaysia,Diversified
Zhang Zhidong,16657034100,China,Technology
Shiv Nadar,16649027459,India,Technology
Ray Dalio,16601730740,United States,Finance
Eric Schmidt,16579148665,United States,Technology
Aliko Dangote,16505851370,Nigeria,Industrial
Charlene de Carvalho-Heineken,16454468483,Netherlands,Food & Beverage
Alisher Usmanov,16419785817,Russian Federation,Diversified
Roman Abramovich,16409338374,Russian Federation,Diversified
Stefan Quandt,16285518626,Germany,Industrial
Donald Bren,16221851465,United States,Real Estate
Lee Man Tat,16213252211,Hong Kong,Food & Beverage
Donald Newhouse,16126498072,United States,Media & Telecom
Carl Cook,15994495260,United States,Health Care
Wang Jianlin,15918883224,China,Real Estate
Masayoshi Son,15565855591,Japan,Technology
Ken Griffin,15482381200,United States,Finance
Hasso Plattner,15458404698,Germany,Technology
Thomas Peterffy,15454546348,United States,Finance
Viktor Vekselberg,15068072119,Russian Federation,Industrial
Zhong Huijuan,14899849400,China,Health Care
Andrey Melnichenko,14888151933,Russian Federation,Industrial
Alwaleed Al Saud,14834293002,Saudi Arabia,Diversified
Iris Fontbona,14651867370,Chile,Commodities
Ricardo Salinas,14456361915,Mexico,Diversified
Uday Kotak,14438004671,India,Finance
Jim Goodnight,14206426738,United States,Technology
Thomas Frist,13899392370,United States,Health Care
James Dyson,13879116957,United Kingdom,Consumer
Dustin Moskovitz,13849140404,United States,Technology
Mikhail Fridman,13809163245,Russian Federation,Diversified
Sun Piaoyang,13515876682,China,Health Care
Lei Jun,13435595365,China,Technology
Alejandro Santo Domingo,13377266267,Colombia,Food & Beverage
Reinhold Wuerth,13277260299,Germany,Industrial
Gordon Moore,13054676683,United States,Technology
Zhang Yiming,13000000000,China,Technology
Pang Kang,12923479469,China,Food & Beverage
Petr Kellner,12890889142,Czech Republic,Diversified
Charlie Ergen,12789712450,United States,Media & Telecom
Hugh Grosvenor,12689000000,United Kingdom,Real Estate
Phil Anschutz,12664672184,United States,Diversified
Peter Woo,12385019042,Hong Kong,Real Estate
Dietrich Mateschitz,12251315379,Austria,Food & Beverage
Patrick Drahi,12248553287,France,Media & Telecom
Karl Albrecht Jr,12246385784,Germany,Retail
Beate Heister,12246385784,Germany,Retail
Wu Yajun,12241010448,China,Real Estate
Joseph Tsai,12210241902,Canada,Technology
Lakshmi Mittal,12192105414,India,Commodities
Dave Duffield,12102777213,United States,Technology
Raymond Kwok,11996803108,Hong Kong,Real Estate
Eduardo Saverin,11840754606,Brazil,Technology
Luis Sarmiento,11840590069,Colombia,Finance
Sara Mota de Larrea,11795973468,Mexico,Commodities
David Tepper,11574000000,United States,Finance
Thomas Kwok,11516567817,Hong Kong,Real Estate
Mikhail Prokhorov,11487952601,Russian Federation,Diversified
Micky Arison,11483667434,United States,Entertainment
Eyal Ofer,11483188666,Israel,Services
Li Shu Fu,11413368464,China,Industrial
Jan Koum,11325000000,United States,Technology
Sun Hongbin,11096781880,United States,Real Estate
Gautam Adani,11020108715,India,Industrial
Zeng Yuqun,11009194249,Hong Kong,Industrial
Marijke Mars,10901646255,United States,Food & Beverage
Victoria Mars,10901646255,United States,Food & Beverage
Pam Mars-Wright,10901646255,United States,Food & Beverage
Valerie Mars,10901646255,United States,Food & Beverage
Michael Kadoorie,10848817706,Hong Kong,Energy
Jim Davis,10815750000,United States,Consumer
Goh Cheng Liang,10779957993,Singapore,Industrial
Cen Junda,10742912953,China,Health Care
Ned Johnson III,10701728519,United States,Finance
Marcel Telles,10618384300,Brazil,Food & Beverage
Liu Yonghao,10510596219,China,Diversified
Zhang Fan,10479702237,China,Technology
Sherry Brydson,10430531305,Canada,Media & Telecom
Autry Stephens,10400000000,United States,Energy
David Geffen,10396890000,United States,Entertainment
Radhakishan Damani,10237864728,India,Retail
Andrew Forrest,10221458789,Australia,Commodities
Sarath Ratanavadi,10175496016,Thailand,Energy
Stefano Pessina,10173303019,Monaco,Retail
Victor Rashnikov,10169386537,Russian Federation,Industrial
Robert Pera,10143441476,United States,Technology
Dietmar Hopp,10134991904,Germany,Technology
Xu Shihui,9985614400,China,Food & Beverage
Ma Jianrong,9941554936,China,Consumer
Hui Wing Mau,9907463886,Hong Kong,Real Estate
Stephen Ross,9900000000,United States,Real Estate
Leonid Fedun,9760035433,Russian Federation,Energy
Carlos Sicupira,9747231672,Brazil,Food & Beverage
Gustaf Douglas,9713125493,Sweden,Diversified
Leon Black,9705012737,United States,Finance
Ron Perelman,9700102937,United States,Diversified
Dmitry Rybolovlev,9678266079,Russian Federation,Diversified
Li Xiting,9575639997,Singapore,Health Care
Galen Weston,9506095662,Canada,Retail
Harry Triguboff,9467000000,Australia,Real Estate
Robin Li,9458340700,China,Technology
Patrick Soon-Shiong,9406085505,United States,Health Care
Gianluigi Aponte,9399383278,Switzerland,Services
August von Finck,9397901543,Germany,Diversified
German Khan,9340111446,Russian Federation,Diversified
Scott Farquhar,9335988154,Australia,Technology
Mike Cannon-Brookes,9335988154,Australia,Technology
Reinhold Schmieding,9328197487,United States,Health Care
Sunil Mittal,9303612384,India,Media & Telecom
Steve Cohen,9229859270,United States,Finance
Wee Cho Yaw,9190694298,Singapore,Finance
Richard Liu,9180809309,China,Technology
Paolo Rocca,9097646233,Italy,Commodities
Pham Nhat Vuong,9077560471,Viet Nam,Real Estate
Charles Schwab,9063879795,United States,Finance
Yongxing Liu,9030982479,China,Industrial
Wang Wei,8956352984,China,Services
Mohammed Al-Amoudi,8931351996,Saudi Arabia,Energy
Marian Ilitch,8895265645,United States,Food & Beverage
Cyrus Poonawalla,8879698723,India,Health Care
Zhou Qunfei,8867720406,China,Technology
Harold Hamm,8850337415,United States,Energy
Xu Hang,8847766997,Hong Kong,Health Care
John Fredriksen,8798302594,Cyprus,Industrial
David Sun,8722500000,United States,Technology
John Tu,8722500000,United States,Technology
Heinrich Deichmann,8702499578,Germany,Retail
Alberto Bailleres,8650037963,Mexico,Commodities
Georg Schaeffler,8550844371,Germany,Industrial
George Kaiser,8531197010,United States,Energy
Tan Siok Tjien,8528873175,Indonesia,Consumer
Theo Albrecht Jr,8528854549,Germany,Retail
Qin Yinglin,8504333826,China,Food & Beverage
Melker Schorling,8478912231,Sweden,Diversified
Richard Kinder,8398076785,United States,Energy
Christy Walton,8359356723,United States,Retail
Andy Beal,8355618813,United States,Finance
John P Grayken,8319457862,Ireland,Finance
Zhang Bangxin,8293621913,China,Services
Antonia Axson Johnson,8252276777,Sweden,Industrial
Kei Hoi Pang,8173639648,China,Real Estate
Joseph Lau,8164603135,Hong Kong,Real Estate
Emmanuel Besnier,8149411343,France,Food & Beverage
Prajogo Pangestu,8135059950,Indonesia,Energy
Blair Parry-Okeden,8120391669,United States,Media & Telecom
Jim Kennedy,8120391669,United States,Media & Telecom
Silvio Berlusconi,8113792659,Italy,Media & Telecom
John Malone,8069296402,United States,Media & Telecom
George Lucas,8060126511,United States,Entertainment
Charles Gerald John Cadogan,8038000000,United Kingdom,Real Estate
Stan Kroenke,8004000000,United States,Real Estate
Robert Rowling,7933041976,United States,Energy
Dilip Shanghvi,7848335773,India,Health Care
Hansjoerg Wyss,7793884617,Switzerland,Health Care
Rupert Murdoch,7787753846,United States,Media & Telecom
Rocco Commisso,7772187500,United States,Media & Telecom
Marc Benioff,7749826312,United States,Technology
Sandra Ortega Mera,7705606895,Spain,Retail
Jorn Rausing,7661979927,Sweden,Services
Zeng Fangqin,7574958689,China,Industrial
Wang Xing,7544267945,China,Technology
Jude Reyes,7470736000,United States,Consumer
Chris Reyes,7470736000,United States,Consumer
Benu Gopal Bangur,7444941701,India,Commodities
John Albert Sobrato,7434787247,United States,Real Estate
Eli Broad,7400000000,United States,Diversified
Zhang Jindong,7377529744,China,Retail
Johann Rupert,7369439667,South Africa,Diversified
Fan Hongwei,7366513823,China,Energy
Henry Kravis,7280344087,United States,Finance
Geoffrey Kwok,7265927531,Hong Kong,Real Estate
Gong Hongjia,7258990234,China,Technology
George Roberts,7258356208,United States,Finance
Alexander Abramov,7247853620,Russian Federation,Industrial
Yasumitsu Shigeta,7247111001,Japan,Media & Telecom
Ralph Lauren,7243211707,United States,Consumer
Tim Sweeney,7230000000,United States,Technology
Savitri Jindal,7227486261,India,Commodities
Nicky Oppenheimer,7225000000,South Africa,Diversified
Bob Rich,7224043200,United States,Food & Beverage
Pierre Omidyar,7215941686,United States,Technology
Dan Gilbert,7194574308,United States,Real Estate
Mohamed Al Jaber,7191488368,Saudi Arabia,Retail
Jay Y Lee,7162832884,"Korea, Republic of",Diversified
Cai Kui,7118747259,China,Real Estate
John Sall,7103213262,United States,Technology
Aloys Wobben,7095765333,Germany,Energy
Alexey Kuzmichev,7089777594,Russian Federation,Diversified
Graeme Hart,7071474745,New Zealand,Finance
Nusli Wadia,7045776781,India,Diversified
Shu Ping,6965769162,Singapore,Food & Beverage
Dang Yanbao,6953784419,China,Energy
Niels Louis-Hansen,6953439698,Denmark,Health Care
Ronald McAulay,6943834062,Hong Kong,Energy
Zhang Yong,6941359712,Singapore,Food & Beverage
Chen Bang,6909985923,China,Health Care
Nassef Sawiris,6852466394,Egypt,Industrial
Manny Villar,6817029460,Philippines,Diversified
Les Wexner,6802731859,United States,Retail
Tsai Eng-Meng,6778832598,Taiwan,Food & Beverage
Majid Al Futtaim,6706457774,United Arab Emirates,Real Estate
George Soros,6700000000,United States,Finance
Ludwig Merckle,6677503907,Germany,Industrial
Bertil Hult,6663846761,Sweden,Diversified
Giorgio Armani,6662063828,Italy,Consumer
Frank Lowy,6655432824,Australia,Real Estate
Ronda Stryker,6645102614,United States,Health Care
Dannine Avara,6607623457,United States,Energy
Scott Duncan,6607623457,United States,Energy
Randa Duncan Williams,6607623457,United States,Energy
Milane Duncan Frantz,6607623457,United States,Energy
K P Singh,6586321991,India,Real Estate
Steven Spielberg,6575000000,United States,Entertainment
David Thomson,6567877591,Canada,Media & Telecom
Anthony Pratt,6566000000,Australia,Industrial
Shari Arison,6563948173,Israel,Diversified
Kumar Birla,6559713828,India,Industrial
Tito Beveridge,6550774020,United States,Consumer
Finn Rausing,6522280560,Sweden,Services
Kirsten Rausing,6522280560,Sweden,Services
Takahisa Takahara,6522074008,Japan,Consumer
Johann Graf,6509183360,Austria,Entertainment
Taylor Thomson,6485782039,Canada,Media & Telecom
Peter Thomson,6485782039,Canada,Media & Telecom
Richard LeFrak,6460027190,United States,Real Estate
Lu Zhongfang,6459573228,China,Services
Teh Hong Piow,6456379043,Malaysia,Finance
Olav Thon,6437072045,Norway,Real Estate
Stef Wertheimer,6425000000,Israel,Diversified
Wu Shaoxun,6412564310,China,Food & Beverage
Tan Kim Choo,6403158577,Singapore,Real Estate
Juan Beckmann,6355097366,Mexico,Food & Beverage
Simon Reuben,6300000000,United Kingdom,Diversified
David Reuben,6300000000,United Kingdom,Diversified
Jim Pattison,6292021477,Canada,Media & Telecom
Pedro Moreira Salles,6253267126,Brazil,Finance
Udo Tschira,6208272677,Germany,Technology
Harald Tschira,6208272677,Germany,Technology
Gabe Newell,6197707861,United States,Technology
Magdalena Martullo-Blocher,6191708181,Switzerland,Industrial
Ernie Garcia,6160583604,United States,Consumer
Natie Kirsh,6154955042,South Africa,Food & Beverage
Andy Bechtolsheim,6154348505,Germany,Technology
Joe Lewis,6136550956,United Kingdom,Diversified
Richard Branson,6130252559,United Kingdom,Diversified
Jerry Jones,6097057145,United States,Entertainment
Anders Holch Povlsen,6080267110,Denmark,Retail
Jensen Huang,6077522857,United States,Technology
Robert Smith,6075000000,United States,Finance
Rinat Akhmetov,6066834747,Ukraine,Industrial
Alexander Otto,6048241665,Germany,Real Estate
Tamara Hughes Gustavson,6008381906,United States,Services
Philip Ng,6004985904,Singapore,Real Estate
Jeff Hildebrand,6004529236,United States,Energy
Rahel Blocher,5991708181,Switzerland,Industrial
Kenneth Dart,5976910800,Cayman Islands,Finance
Edward Roski,5968107754,United States,Real Estate
Tom Love,5948142850,United States,Retail
Judy Love,5948142850,United States,Retail
Robert Ng,5943159938,Singapore,Real Estate
Wang Zhenhua,5940903370,China,Real Estate
Dhanin Chearavanont,5933723034,Thailand,Retail
Jiang Rensheng,5929672336,China,Health Care
Ding Shizhong,5913939748,China,Consumer
Alain Merieux,5878201295,France,Health Care
Vivien Chen,5873734996,Hong Kong,Real Estate
Joao Moreira Salles,5869914091,Brazil,Finance
Walter Salles,5868875957,Brazil,Finance
Terry Gou,5847385280,Taiwan,Industrial
Fernando Moreira Salles,5844914091,Brazil,Finance
Guenther Fielmann,5825350022,Germany,Consumer
Lynn Schusterman,5798427268,United States,Energy
Ned Johnson IV,5785258145,United States,Finance
Elizabeth Johnson,5784780755,United States,Finance
Terry Pegula,5780000000,United States,Energy
Petr Aven,5767367272,Russian Federation,Diversified
Ding Shijia,5757020506,China,Consumer
Nancy Walton Laurie,5729431272,United States,Retail
Shigenobu Nagamori,5721388964,Japan,Industrial
Leng You-Bin,5719088993,China,Consumer
Rafael del Pino,5698020488,Spain,Industrial
Kjeld Kristiansen,5675158878,Denmark,Consumer
Iskander Makhmudov,5653073573,Russian Federation,Commodities
Leonard Stern,5608000000,United States,Real Estate
Izzy Englander,5606519649,United States,Finance
Quek Leng Chan,5602195158,Malaysia,Diversified
Tom Morris,5592215615,United Kingdom,Retail
Dennis Washington,5578954850,United States,Industrial
M A Yusuff Ali,5558340267,United Arab Emirates,Food & Beverage
Charles Butt,5551765990,United States,Retail
Bidzina Ivanishvili,5545000000,Georgia,Diversified
Rahul Bajaj,5542702192,India,Diversified
Arthur Irving,5537566704,Canada,Energy
Sofie Kiaer Kristiansen,5525158878,Denmark,Consumer
Agnete Thinggaard,5525158878,Denmark,Consumer
Thomas Kristiansen,5525158878,Denmark,Consumer
Andre Hoffmann,5521263256,Switzerland,Health Care
Antti Herlin,5516683606,Finland,Industrial
JK Irving,5505618850,Canada,Commodities
John Reece,5485941441,United Kingdom,Industrial
Barry Diller,5479965153,United States,Technology
Michael Otto,5452363498,Germany,Retail
Frederik Paulsen,5452050000,Sweden,Health Care
Andrew Currie,5450155782,United Kingdom,Industrial
Laurence Graff,5438414028,United Kingdom,Consumer
Frank Wang,5422394975,China,Technology
Odd Reitan,5421771932,Norway,Food & Beverage
Ray Hunt,5421192714,United States,Energy
Trevor Rees-Jones,5420404973,United States,Energy
David Shaw,5414359395,United States,Finance
Charles Dolan,5387774353,United States,Media & Telecom
Fredrik Lundberg,5386286227,Sweden,Real Estate
Vera Michalski-Hoffmann,5384776029,Switzerland,Health Care
Maja Hoffmann,5384776029,Switzerland,Health Care
Margaretta Taylor,5371951412,United States,Media & Telecom
James Chambers,5371951412,United States,Media & Telecom
Katharine Rayner,5371951412,United States,Media & Telecom
Clive Calder,5371000000,United Kingdom,Entertainment
Ermirio de Moraes,5364021051,Brazil,Commodities
Maria Helena Moraes,5363171767,Brazil,Industrial
Wolfgang Marguerre,5361013401,Germany,Health Care
Michael Herz,5353833071,Germany,Consumer
Wolfgang Herz,5353833071,Germany,Consumer
Axel Oberwelland,5351464851,Germany,Food & Beverage
Sultan Al Kabeer,5317646610,Saudi Arabia,Consumer
Jack Dorsey,5312280811,United States,Technology
Liz Mohn,5287207765,Germany,Media & Telecom
Pat Stryker,5261523653,United States,Health Care
Walter Scott,5253083416,United States,Energy
Sam Zell,5241983302,United States,Real Estate
Suleiman Kerimov,5238855746,Russian Federation,Commodities
Sumet Jiaravanon,5196300702,Thailand,Diversified
Lino Saputo,5196060727,Canada,Food & Beverage
Denise Coates,5160601188,United Kingdom,Entertainment
Whitney MacMillan,5138486900,United States,Commodities
Gwendolyn Sontheim Meyer,5138486900,United States,Commodities
Pauline MacMillan Keinath,5138486900,United States,Commodities
Nie Tengyun,5137206215,China,Services
Zhou Hongyi,5127105677,China,Technology
Jeff Skoll,5125008826,United States,Technology
Kim Jungju,5122934792,"Korea, Republic of",Technology
Wang Chuan-Fu,5121816421,China,Consumer
Naguib Sawiris,5115880504,Egypt,Media & Telecom
Chen Lip Keong,5111130007,Malaysia,Entertainment
Jeff Sutton,5110000000,United States,Real Estate
Helen Johnson-Leipold,5109150371,United States,Consumer
Jaran Chiaravanont,5108740243,Thailand,Diversified
Linda Campbell,5107234740,Canada,Media & Telecom
Guo Guangchang,5107180155,China,Finance
Gaye Farncombe,5082234740,Canada,Media & Telecom
Montri Jiaravanont,5069047637,Thailand,Diversified
Stan Druckenmiller,5055000000,United States,Finance
Hiroshi Mikitani,5040176777,Japan,Retail
Li Shuirong,5039386298,China,Energy
Jean-Michel Besnier,5027639463,France,Food & Beverage
Isaac Perlmutter,5008794000,United States,Entertainment
Thomas Schmidheiny,5007044516,Switzerland,Industrial
Herbert Johnson III,4994625000,United States,Consumer
Winnie Johnson,4994625000,United States,Consumer
Curt Johnson III,4994625000,United States,Consumer
Prakash Lohia,4967725732,Indonesia,Industrial
David Bonderman,4966912311,United States,Finance
Zong Qinghou,4952297110,China,Food & Beverage
Seo Jung-Jin,4939894081,"Korea, Republic of",Health Care
Johan Johannson,4928418658,Norway,Retail
Pierre Bellon,4926093182,France,Retail
Dick Schulze,4919301393,United States,Retail
Mary Malone,4899441231,United States,Food & Beverage
Shahid Khan,4898611587,United States,Consumer
Lin Li,4890503505,China,Diversified
Howard Schultz,4875359022,United States,Food & Beverage
Ann Walton Kroenke,4865070772,United States,Retail
Richard Li,4836921340,Hong Kong,Media & Telecom
Pansy Catilina Ho,4823080880,Hong Kong,Entertainment
Theo Mueller,4820609820,Germany,Food & Beverage
Dan Cathy,4818871236,United States,Food & Beverage
Bubba Cathy,4818871236,United States,Food & Beverage
Bernie Marcus,4800000000,United States,Retail
Francis Choi,4797130759,Hong Kong,Real Estate
Lin Bin,4790662350,United States,Technology
Huang Shilin,4787455450,China,Industrial
Frits Goldschmeding,4786385495,Netherlands,Retail
Thomas Strungmann,4768464526,Germany,Health Care
Andreas Strungmann,4768464526,Germany,Health Care
Anthony Bamford,4758792190,United Kingdom,Industrial
Sheldon Solow,4750000000,United States,Real Estate
Xavier Niel,4748102598,France,Technology
Chip Wilson,4736448785,Canada,Retail
Mike Adenuga,4711083024,Nigeria,Media & Telecom
Enrique Razon,4693063186,Philippines,Services
Tilman Fertitta,4683725584,United States,Entertainment
Tom Gores,4675000000,United States,Finance
Suh Kyung-Bae,4668970717,"Korea, Republic of",Consumer
Chung Mong-Koo,4635847997,"Korea, Republic of",Industrial
Du Weimin,4613735690,China,Health Care
Margot Perot,4600000000,United States,Diversified
Henry Laufer,4600000000,United States,Finance
Kelcy Warren,4595072119,United States,Energy
Charles Johnson,4587892463,United States,Finance
Bill Koch,4583825003,United States,Diversified
Martin Viessmann,4582049310,Germany,Industrial
Reed Hastings,4569628489,United States,Technology
Chase Coleman,4567257795,United States,Finance
Andrey Guryev,4554622587,Russian Federation,Industrial
Mark Scheinberg,4552500000,Isle of Man,Entertainment
David Filo,4550000000,United States,Technology
Barry Lam,4546327869,Taiwan,Technology
Ananda Krishnan,4542419459,Malaysia,Diversified
Vincent Bollore,4536983577,France,Diversified
Thomas Pritzker,4534683714,United States,Finance
Angela Leong,4527982599,Hong Kong,Entertainment
Vyacheslav Moshe Kantor,4525107979,Russian Federation,Industrial
Yao Liangsong,4503416960,China,Retail
Friede Springer,4493661272,Germany,Media & Telecom
John Brown,4463648749,United States,Technology
Bob Kraft,4457782131,United States,Entertainment
Traudl Engelhorn-Vechiatto,4450000000,Switzerland,Diversified
Jane Lauder,4449133938,United States,Consumer
Vikram Lal,4423504373,India,Industrial
Wang Wenyin,4421243261,China,Commodities
Alain Bouchard,4419419767,Canada,Retail
Stein Erik Hagen,4414827497,Norway,Consumer
B Wayne Hughes,4400838748,United States,Services
John Paulson,4400000000,United States,Finance
Marie Besnier Beauvalot,4391443204,France,Food & Beverage
