Player,3P,2P,PTS
Steven Adams,0.0,4.4,10.7
Bam Adebayo,0.0,6.2,15.8
LaMarcus Aldridge,1.2,6.3,19.1
Nickeil Alexander-Walker,1.0,0.9,5.1
Grayson Allen,1.1,1.5,7.4
Jarrett Allen,0.0,4.3,11.1
Kadeem Allen,0.5,1.4,5.0
Al-Farouq Aminu,0.5,0.9,4.3
Justin Anderson,0.0,0.3,1.0
Kyle Anderson,0.2,2.0,5.3
Ryan Anderson,0.5,0.5,2.5
Giannis Antetokounmpo,1.5,9.5,30.0
Kostas Antetokounmpo,0.0,0.0,0.0
Thanasis Antetokounmpo,0.0,0.9,2.0
Carmelo Anthony,1.4,4.4,15.1
OG Anunoby,1.3,2.8,10.2
Ryan Arcidiacono,0.9,0.5,4.2
Trevor Ariza,1.4,2.4,10.1
D.J. Augustin,1.2,2.1,10.7
Deandre Ayton,0.0,8.4,18.7
Dwayne Bacon,0.5,1.7,5.7
Marvin Bagley,0.3,5.7,14.2
Lonzo Ball,2.4,2.1,11.9
Mo Bamba,0.6,1.6,5.5
J.J. Barea,1.4,2.1,9.0
Harrison Barnes,1.3,3.7,14.5
RJ Barrett,1.1,3.8,13.6
Will Barton,1.8,3.9,15.1
Keita Bates-Diop,0.8,1.5,6.6
Nicolas Batum,0.6,0.6,3.6
Aron Baynes,1.3,3.2,11.5
Kent Bazemore,1.2,1.4,8.0
Darius Bazley,0.6,1.1,4.5
Bradley Beal,2.5,7.4,29.1
Malik Beasley,4.7,3.3,22.0
Marco Belinelli,1.0,0.9,5.4
Jordan Bell,0.1,1.1,3.1
DeAndre' Bembry,0.3,2.1,5.8
Dragan Bender,0.6,0.9,3.7
Dāvis Bertāns,3.5,1.3,15.0
Patrick Beverley,1.6,1.5,8.5
Khem Birch,0.0,1.5,4.0
Goga Bitadze,0.1,1.1,3.0
Bismack Biyombo,0.0,2.9,7.5
Nemanja Bjelica,2.1,2.6,12.3
Eric Bledsoe,1.2,4.5,15.7
Bogdan Bogdanović,2.6,2.6,14.4
Bojan Bogdanović,3.2,3.7,21.0
Jonah Bolden,0.0,0.8,2.0
Marques Bolden,0.0,0.0,0.0
Jordan Bone,0.0,0.3,0.7
Isaac Bonga,0.4,1.4,4.8
Devin Booker,1.9,7.0,26.4
Chris Boucher,0.5,1.7,6.3
Brian Bowen,0.0,0.3,0.7
Ky Bowman,0.8,2.0,7.0
Avery Bradley,1.1,2.4,8.5
Tony Bradley,0.0,2.0,4.4
Jarrell Brantley,0.0,0.0,0.0
Ignas Brazdeikis,0.1,0.6,1.9
Mikal Bridges,0.7,2.3,8.1
Miles Bridges,1.6,3.4,13.0
Oshae Brissett,0.2,0.5,1.9
Ryan Broekhoff,1.2,0.1,4.2
Malcolm Brogdon,1.4,4.7,16.6
Dillon Brooks,2.1,3.6,15.7
Bruce Brown,0.6,2.8,8.7
Charlie Brown,0.3,0.3,2.0
Jaylen Brown,2.1,5.4,20.2
Moses Brown,0.0,0.4,1.2
Sterling Brown,0.8,1.1,5.3
Troy Brown,0.8,3.2,10.2
Jalen Brunson,0.8,2.5,8.4
Thomas Bryant,0.5,4.7,12.9
Reggie Bullock,1.6,2.2,9.8
Trey Burke,0.6,1.7,5.9
Alec Burks,1.7,3.3,15.8
Deonte Burton,0.2,0.9,2.7
Jimmy Butler,0.6,5.6,20.6
Bruno Caboclo,0.2,1.1,2.8
Kentavious Caldwell-Pope,1.4,2.0,9.5
Vlatko Čančar,0.1,0.4,1.4
Clint Capela,0.0,6.3,13.9
DeMarre Carroll,0.2,0.4,2.2
Jevon Carter,0.9,0.7,4.3
Vince Carter,1.0,0.8,5.3
Wendell Carter,0.2,4.3,11.7
Michael Carter-Williams,0.4,1.9,6.4
Alex Caruso,0.7,1.2,5.5
Willie Cauley-Stein,0.0,3.3,7.5
Tyson Chandler,0.0,0.5,1.3
Wilson Chandler,1.0,1.3,6.2
Zylan Cheatham,0.0,0.7,1.3
Chris Chiozza,0.6,0.4,2.4
Marquese Chriss,0.2,3.1,8.7
Gary Clark,0.9,0.3,3.6
Brandon Clarke,0.4,4.7,12.3
Jordan Clarkson,2.2,3.4,15.3
Nicolas Claxton,0.1,1.8,4.4
Chris Clemons,1.2,0.6,5.0
Antonius Cleveland,0.0,0.3,0.8
Amir Coffey,0.2,1.3,3.2
John Collins,1.3,7.1,20.6
Zach Collins,1.0,2.0,9.0
Mike Conley,1.8,2.9,13.5
Pat Connaughton,0.7,1.2,4.9
Quinn Cook,0.7,1.4,5.0
Tyler Cook,0.0,0.6,1.7
Robert Covington,2.3,2.2,12.8
Allen Crabbe,1.0,0.8,4.8
Torrey Craig,0.7,1.2,4.9
Jae Crowder,4.0,1.7,18.0
Jarrett Culver,1.0,2.6,9.1
Seth Curry,2.1,2.0,11.5
Stephen Curry,2.3,4.5,20.3
Troy Daniels,1.0,0.5,4.3
Anthony Davis,1.1,8.2,26.6
Ed Davis,0.0,0.6,1.3
Terence Davis,1.5,1.5,7.9
Dewayne Dedmon,1.3,2.7,10.3
Matthew Dellavedova,0.2,0.7,2.6
DeMar DeRozan,0.2,8.4,23.0
Cheick Diallo,0.0,2.1,5.1
Hamidou Diallo,0.2,2.6,6.4
Gorgui Dieng,1.0,1.7,7.4
Spencer Dinwiddie,1.9,4.9,21.0
Donte DiVincenzo,1.3,2.2,9.2
Luka Dončić,2.9,6.6,28.9
Luguentz Dort,0.8,1.3,5.8
Damyean Dotson,1.2,1.3,6.7
Sekou Doumbouya,0.8,1.7,6.8
PJ Dozier,0.5,1.8,5.5
Goran Dragić,2.2,3.2,16.1
Andre Drummond,0.1,7.3,17.7
Jared Dudley,0.4,0.1,1.6
Kris Dunn,0.6,2.4,7.3
Carsen Edwards,0.6,0.4,2.9
Henry Ellenson,0.0,0.2,0.4
Wayne Ellington,1.3,0.4,5.1
Joel Embiid,1.3,6.1,22.9
James Ennis,0.7,1.3,5.8
Drew Eubanks,0.0,1.3,2.9
Jacob Evans,0.5,1.1,4.6
Dante Exum,0.4,1.4,5.3
Tacko Fall,0.0,1.5,3.2
Derrick Favors,0.0,4.3,9.5
Cristiano Felício,0.0,1.6,4.1
Terrance Ferguson,1.0,0.6,4.5
Bruno Fernando,0.1,1.6,4.0
Yogi Ferrell,0.5,1.1,4.4
Dorian Finney-Smith,1.6,1.7,9.4
Bryn Forbes,2.3,1.5,11.1
Evan Fournier,2.7,3.9,18.7
De'Aaron Fox,1.0,6.1,19.7
Melvin Frazier,0.3,0.1,1.3
Michael Frazier,0.3,0.1,1.7
Tim Frazier,0.4,0.9,3.6
Markelle Fultz,0.5,4.4,11.9
Wenyen Gabriel,0.1,0.7,2.0
Daniel Gafford,0.0,2.0,4.7
Danilo Gallinari,3.0,3.0,19.3
Langston Galloway,2.0,1.5,10.1
Darius Garland,1.8,2.8,12.2
Marc Gasol,1.4,1.4,7.8
Rudy Gay,0.9,2.5,9.5
Paul George,3.3,3.9,21.7
Taj Gibson,0.1,2.5,5.8
Harry Giles,0.0,2.5,5.6
Shai Gilgeous-Alexander,1.3,5.8,19.5
Rudy Gobert,0.0,6.0,15.6
Brandon Goodwin,0.9,1.5,6.7
Aaron Gordon,1.2,4.1,14.2
Eric Gordon,2.9,2.1,15.3
Devonte' Graham,3.5,2.3,18.1
Treveon Graham,0.6,1.0,4.4
Jerami Grant,1.4,2.7,11.3
Josh Gray,0.0,0.5,1.0
Danny Green,1.9,1.2,8.6
Draymond Green,0.9,2.0,8.3
JaMychal Green,1.3,0.9,6.4
Javonte Green,0.1,1.0,3.0
Jeff Green,1.1,1.4,7.8
Blake Griffin,1.5,3.4,15.5
Marko Guduric,0.6,1.0,4.5
Kyle Guy,0.0,0.5,1.0
Rui Hachimura,0.4,5.3,13.9
Devon Hall,0.0,0.2,1.0
Tim Hardaway,2.8,2.4,14.8
James Harden,4.6,5.5,35.3
Maurice Harkless,0.5,1.7,5.5
Jared Harper,0.0,0.3,0.7
Montrezl Harrell,0.0,7.7,18.8
Gary Harris,1.2,2.6,10.2
Joe Harris,2.4,2.8,13.8
Tobias Harris,1.8,5.7,19.0
Shaquille Harrison,0.2,1.0,3.4
Josh Hart,2.1,1.6,10.6
Isaiah Hartenstein,0.0,1.9,4.7
Udonis Haslem,0.0,0.5,2.5
Jaxson Hayes,0.0,2.9,7.9
Gordon Hayward,1.6,5.1,17.3
John Henson,0.0,3.0,6.3
Dewan Hernandez,0.0,0.3,1.0
Juan Hernangómez,2.0,3.0,15.0
Willy Hernangómez,0.2,2.0,5.7
Tyler Herro,2.2,2.6,13.1
Kevin Hervey,0.0,0.0,0.0
Mario Hezonja,0.4,1.2,4.5
Buddy Hield,3.8,3.6,20.4
George Hill,1.5,2.0,9.7
Solomon Hill,1.2,0.8,5.7
Jaylen Hoard,0.0,1.2,2.9
Aaron Holiday,1.5,2.2,9.9
Jrue Holiday,2.0,5.6,19.3
Justin Holiday,1.8,1.0,8.3
Rondae Hollis-Jefferson,0.0,2.8,7.6
Richaun Holmes,0.0,5.5,13.1
Rodney Hood,1.7,2.5,11.0
Al Horford,1.4,3.4,12.0
Talen Horton-Tucker,0.0,0.0,0.0
Danuel House,2.1,1.5,10.6
Dwight Howard,0.1,3.1,7.8
William Howard,0.0,0.0,0.0
Kevin Huerter,2.3,2.2,12.3
De'Andre Hunter,1.6,2.8,12.2
Chandler Hutchison,0.4,2.4,7.8
Serge Ibaka,1.3,5.3,16.1
Andre Iguodala,1.0,0.7,4.3
Ersan İlyasova,0.9,1.8,7.4
Joe Ingles,2.0,1.5,10.0
Brandon Ingram,2.5,6.0,24.9
Kyrie Irving,2.8,7.2,27.4
Jonathan Isaac,0.9,3.7,12.0
Wesley Iwundu,0.5,1.2,5.1
Frank Jackson,0.8,1.3,5.9
Jaren Jackson,2.5,3.7,17.1
Josh Jackson,0.4,1.7,6.0
Justin Jackson,0.8,1.4,5.8
Reggie Jackson,2.2,3.2,14.9
Justin James,0.3,0.8,2.7
LeBron James,2.1,7.4,25.0
Amile Jefferson,0.0,0.3,0.8
DaQuan Jeffries,0.2,0.3,1.2
Ty Jerome,0.5,1.0,4.0
Alize Johnson,0.0,0.6,1.6
B.J. Johnson,0.1,0.5,1.6
Cameron Johnson,1.7,0.9,7.7
James Johnson,1.7,1.7,9.3
Keldon Johnson,0.0,0.5,1.0
Stanley Johnson,0.1,0.4,1.2
Tyler Johnson,0.8,1.3,5.7
Nikola Jokić,1.2,6.8,20.6
Damian Jones,0.0,2.3,5.9
Derrick Jones,0.7,2.4,8.7
Tyus Jones,0.6,2.3,6.9
DeAndre Jordan,0.0,3.3,8.1
Cory Joseph,0.7,1.7,6.4
Mfiondu Kabengele,0.8,0.4,3.5
Frank Kaminsky,1.2,2.8,11.0
Enes Kanter,0.0,3.9,9.2
Luke Kennard,2.6,2.8,15.8
Stanton Kidd,0.0,0.0,0.0
Michael Kidd-Gilchrist,0.4,1.1,4.0
Louis King,0.4,0.4,2.0
Maxi Kleber,1.6,1.5,8.9
Brandon Knight,1.2,0.5,4.8
Kevin Knox,1.1,1.3,6.8
John Konchar,0.0,0.5,1.2
Furkan Korkmaz,1.9,1.5,9.6
Luke Kornet,0.9,1.4,6.0
Kyle Korver,1.6,0.5,6.4
Rodions Kurucs,0.8,1.0,4.8
Kyle Kuzma,1.5,3.2,12.6
Skal Labissière,0.1,2.4,5.8
Jeremy Lamb,1.2,3.7,12.9
Romeo Langford,0.2,0.8,3.0
Zach LaVine,3.1,5.7,25.3
Vic Law,0.0,0.0,0.0
Jake Layman,1.4,3.0,10.5
T.J. Leaf,0.2,1.0,3.0
Jalen Lecque,0.0,1.0,2.5
Courtney Lee,0.9,0.6,4.1
Damion Lee,1.5,2.6,12.0
Alex Len,0.4,3.2,8.7
Kawhi Leonard,2.1,7.4,27.2
Meyers Leonard,1.0,1.3,6.1
Caris LeVert,1.5,4.2,15.3
Damian Lillard,3.9,5.5,29.5
Nassir Little,0.3,1.1,3.8
Kevon Looney,0.1,1.1,2.9
Brook Lopez,1.4,2.5,10.6
Robin Lopez,0.4,1.8,5.2
Kevin Love,2.6,3.4,17.7
Kyle Lowry,2.9,3.1,19.6
Timothé Luwawu-Cabarrot,0.9,0.8,5.2
Trey Lyles,0.8,1.2,5.4
Daryl Macon,0.3,0.0,0.8
J.P. Macura,0.0,0.0,0.0
Josh Magette,0.1,0.5,1.5
Ian Mahinmi,0.2,2.8,7.9
Thon Maker,0.3,1.2,4.7
Terance Mann,0.1,0.6,1.6
Boban Marjanović,0.1,2.3,5.8
Lauri Markkanen,2.2,2.9,15.0
Caleb Martin,0.3,0.8,2.8
Cody Martin,0.4,1.3,4.5
Jeremiah Martin,0.0,0.5,1.0
Kelan Martin,0.8,1.5,5.9
Frank Mason,0.3,0.0,1.3
Garrison Mathews,1.1,0.3,5.8
Wesley Matthews,1.6,0.9,7.5
Patrick McCaw,0.7,1.3,4.9
CJ McCollum,2.7,5.8,21.3
T.J. McConnell,0.1,3.0,6.8
Jalen McDaniels,0.8,1.2,5.4
Doug McDermott,1.9,2.0,10.4
JaVale McGee,0.1,3.1,7.1
Rodney McGruder,0.5,0.8,3.4
Alfonzo McKinnie,0.3,1.4,4.3
Jordan McLaughlin,0.9,1.7,6.7
Ben McLemore,2.5,0.9,10.2
Jordan McRae,1.4,3.0,12.2
Nicolò Melli,1.1,1.0,6.1
De'Anthony Melton,0.5,2.4,8.0
Chimezie Metu,0.0,1.1,2.5
Khris Middleton,2.4,5.0,20.4
Eric Mika,0.0,2.0,6.0
C.J. Miles,1.1,0.8,6.4
Malcolm Miller,0.2,0.1,0.9
Patty Mills,2.4,1.6,11.7
Paul Millsap,1.1,3.1,12.1
Shake Milton,0.9,1.3,6.3
Donovan Mitchell,2.4,6.6,24.3
Naz Mitrou-Long,0.7,1.3,4.7
Adam Mokoka,0.5,0.5,2.5
Malik Monk,1.0,2.8,9.9
Matt Mooney,0.0,0.5,1.0
E'Twaun Moore,1.3,2.5,9.5
Ja Morant,0.8,5.9,17.6
Juwan Morgan,0.1,0.5,1.2
Marcus Morris,2.6,3.8,19.0
Markieff Morris,1.7,2.3,11.0
Monte Morris,0.9,2.6,8.5
Johnathan Motley,0.1,0.8,2.2
Emmanuel Mudiay,0.6,2.3,7.3
Dejounte Murray,0.6,3.7,10.4
Jamal Murray,1.8,5.2,18.9
Džanan Musa,0.4,1.0,4.2
Mike Muscala,1.1,0.5,4.8
Sviatoslav Mykhailiuk,2.0,0.9,8.9
Abdel Nader,0.7,1.3,5.7
Larry Nance,1.0,2.8,9.5
Shabazz Napier,1.4,1.8,9.7
Raul Neto,0.5,1.0,3.9
Malik Newman,0.0,0.0,2.0
Georges Niang,1.3,0.8,5.9
Nerlens Noel,0.0,3.2,7.8
Zach Norvell,1.0,0.0,3.3
Jaylen Nowell,0.3,1.2,4.4
Frank Ntilikina,0.7,1.4,5.8
Kendrick Nunn,1.9,4.1,15.3
David Nwaba,0.6,1.3,5.2
Royce O'Neale,1.2,0.9,5.9
Kyle O'Quinn,0.3,1.1,3.5
Semi Ojeleye,0.5,0.5,3.0
Jahlil Okafor,0.0,3.2,7.9
Elie Okobo,0.5,0.9,4.2
Josh Okogie,0.6,2.1,8.6
KZ Okpala,0.0,0.6,1.4
Victor Oladipo,1.4,2.6,11.1
Kelly Olynyk,1.3,1.3,7.5
Miye Oni,0.0,0.0,0.0
Cedi Osman,1.8,2.2,10.8
Kelly Oubre,2.0,4.7,18.9
Tariq Owens,0.0,0.3,1.3
Jeremy Pargo,1.0,2.7,8.3
Jabari Parker,1.0,5.2,15.0
Chandler Parsons,0.8,0.2,2.8
Eric Paschall,0.6,4.5,13.2
Anžejs Pasečņiks,0.0,2.7,7.0
Patrick Patterson,1.1,0.5,4.9
Justin Patton,0.2,0.6,1.8
Chris Paul,1.6,4.5,17.4
Elfrid Payton,0.4,3.9,9.7
Gary Payton,0.5,1.4,4.5
Norvel Pelle,0.0,1.1,2.5
Theo Pinson,0.5,1.0,4.2
Mason Plumlee,0.0,3.0,7.4
Vincent Poirier,0.1,0.7,1.9
Jakob Pöltl,0.0,2.4,5.4
Shamorie Ponds,0.3,0.5,2.3
Jordan Poole,1.2,1.3,7.8
Kevin Porter,1.0,2.7,9.8
Michael Porter,1.0,2.1,8.0
Otto Porter,1.8,2.1,11.2
Bobby Portis,1.0,2.7,9.4
Kristaps Porziņģis,2.3,4.0,18.4
Dwight Powell,0.3,3.4,9.4
Norman Powell,2.0,3.5,15.3
Julius Randle,1.0,6.2,19.3
Josh Reaves,0.0,0.0,0.0
Cam Reddish,1.3,1.9,9.3
J.J. Redick,3.0,1.8,15.7
Naz Reid,1.2,1.5,7.4
Josh Richardson,1.6,3.8,14.6
Austin Rivers,1.3,1.7,8.5
Duncan Robinson,3.5,0.6,12.6
Glenn Robinson,1.4,3.7,12.7
Jerome Robinson,1.0,0.7,4.7
Justin Robinson,0.3,0.2,1.4
Mitchell Robinson,0.0,3.9,9.2
Isaiah Roby,0.0,0.0,0.0
Rajon Rondo,1.0,2.1,7.8
Derrick Rose,0.9,6.5,18.2
Terrence Ross,2.2,2.3,13.4
Terry Rozier,2.6,3.6,17.8
Ricky Rubio,1.1,3.2,12.3
D'Angelo Russell,4.0,4.0,24.0
Domantas Sabonis,0.3,7.0,18.3
JaKarr Sampson,0.1,1.8,4.2
Dario Šarić,1.2,2.4,9.6
Tomáš Satoranský,1.1,2.7,10.3
Admiral Schofield,0.5,0.6,3.2
Dennis Schröder,2.0,5.2,19.3
Mike Scott,1.1,0.9,5.5
Thabo Sefolosha,0.4,0.6,2.4
Collin Sexton,1.3,6.3,19.8
Landry Shamet,2.5,1.0,10.6
Marial Shayok,0.5,0.0,1.5
Iman Shumpert,0.6,1.0,4.2
Pascal Siakam,2.1,6.6,23.5
Chris Silva,0.0,1.1,3.1
Ben Simmons,0.0,6.7,16.9
Anfernee Simons,1.2,2.2,9.1
Alen Smailagić,0.3,1.3,4.7
Marcus Smart,2.3,1.9,12.5
Dennis Smith,0.5,1.5,5.2
Ish Smith,0.9,3.6,10.8
Zhaire Smith,0.0,0.4,1.1
Tony Snell,1.8,1.1,8.1
Omari Spellman,0.9,1.7,7.6
Max Strus,0.0,1.0,2.5
Edmond Sumner,0.4,1.4,4.3
Caleb Swanigan,0.0,1.5,3.2
Jayson Tatum,2.6,5.5,22.4
Jeff Teague,0.8,3.0,11.3
Garrett Temple,2.0,1.5,10.2
Daniel Theis,0.4,3.0,8.3
Isaiah Thomas,2.0,2.4,12.2
Khyri Thomas,0.0,0.0,0.5
Matt Thomas,1.1,0.5,4.5
Tristan Thompson,0.1,4.9,12.1
Matisse Thybulle,1.0,0.7,4.9
Anthony Tolliver,0.8,0.3,3.3
Juan Toscano-Anderson,0.7,1.0,4.0
Karl-Anthony Towns,3.3,5.8,26.5
Gary Trent,1.5,1.0,6.8
Allonzo Trier,0.8,1.1,6.0
P.J. Tucker,1.5,1.1,7.4
Rayjon Tucker,0.0,0.7,1.6
Evan Turner,0.0,1.3,3.3
Myles Turner,1.4,2.7,11.9
Jonas Valančiūnas,0.5,5.7,14.9
Denzel Valentine,1.2,1.0,5.8
Jarred Vanderbilt,0.0,0.5,1.1
Fred VanVleet,2.8,3.3,18.0
Gabe Vincent,1.0,0.0,3.0
Noah Vonleh,0.1,1.5,4.1
Nikola Vučević,1.7,5.9,19.0
Dean Wade,0.2,0.5,1.6
Moritz Wagner,0.9,3.5,11.3
Dion Waiters,2.7,0.7,9.3
Kemba Walker,3.4,3.8,21.8
Lonnie Walker,0.5,1.7,5.7
Tyrone Wallace,0.1,0.9,2.9
Taurean Waller-Prince,2.4,2.1,12.4
Derrick Walton,0.4,0.3,2.2
Brad Wanamaker,0.5,1.7,6.6
T.J. Warren,1.1,6.3,18.5
P.J. Washington,1.3,3.2,11.7
Yuta Watanabe,0.2,0.4,1.8
Tremont Waters,0.2,0.9,3.1
Paul Watson,0.0,0.0,0.3
Quinndary Weatherspoon,0.0,0.0,0.0
Russell Westbrook,1.0,9.6,27.2
Coby White,1.8,2.3,11.1
Derrick White,0.9,2.6,10.2
Hassan Whiteside,0.0,6.5,15.7
Andrew Wiggins,2.2,6.1,22.5
Grant Williams,0.4,1.0,3.8
Johnathan Williams,0.0,1.5,3.2
Kenrich Williams,0.7,0.7,3.8
Lou Williams,1.8,4.6,19.5
Marvin Williams,1.0,2.0,9.0
Robert Williams,0.0,1.7,3.9
Nigel Williams-Goss,0.0,0.1,0.4
Zion Williamson,0.4,7.9,22.1
D.J. Wilson,0.4,0.8,3.1
Justise Winslow,0.5,4.0,11.3
Christian Wood,0.8,3.2,11.2
Delon Wright,0.6,2.1,7.3
Thaddeus Young,1.1,2.9,9.7
Trae Young,3.5,5.7,29.7
Cody Zeller,0.3,4.0,11.0
Ante Žižić,0.0,1.8,4.3
Ivica Zubac,0.0,3.2,8.0